Accession,Subtype,Source Location,Locus,Version,Definition,Source,Organism,Sequence Length,GenBank File,source:clone,source:collection_date,source:db_xref,source:geo_loc_name,source:host,source:isolate,source:isolation_source,source:mol_type,source:note,source:organism,source:serotype,source:strain,source:tissue_type
KJ567645,6xb,1..9401,KJ567645,KJ567645.1,"Hepatitis C virus isolate 6_VN110, complete genome.",Orthohepacivirus hominis,Orthohepacivirus hominis Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus.,9390,subtype_files/KJ567645.gb,,,taxon:3052230,Viet Nam,Homo sapiens,6_VN110,,genomic RNA,subtype: 6xb; genotype: 6,Orthohepacivirus hominis,,,
KJ567651,6xc,1..9442,KJ567651,KJ567651.1,"Hepatitis C virus isolate 6_TV520, complete genome.",Orthohepacivirus hominis,Orthohepacivirus hominis Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus.,9412,subtype_files/KJ567651.gb,,,taxon:3052230,Viet Nam,Homo sapiens,6_TV520,,genomic RNA,subtype: 6xc; genotype: 6,Orthohepacivirus hominis,,,
KM252789,6xd,1..9432,KM252789,KM252789.1,"Hepatitis C virus isolate L23 polyprotein gene, complete cds.",Orthohepacivirus hominis,Orthohepacivirus hominis Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus.,9386,subtype_files/KM252789.gb,,,taxon:3052230,Laos,Homo sapiens,L23,,genomic RNA,genotype: 6xd,Orthohepacivirus hominis,,,
KM252790,6xd,1..9435,KM252790,KM252790.1,"Hepatitis C virus isolate L347 polyprotein gene, complete cds.",Orthohepacivirus hominis,Orthohepacivirus hominis Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus.,9411,subtype_files/KM252790.gb,,,taxon:3052230,Laos,Homo sapiens,L347,,genomic RNA,genotype: 6xd,Orthohepacivirus hominis,,,
JX183557,6xe,1..9460,JX183557,JX183557.1,"Hepatitis C virus isolate DH027, complete genome.",Orthohepacivirus hominis,Orthohepacivirus hominis Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus.,9454,subtype_files/JX183557.gb,,,taxon:3052230,"China: Dehong City, Yunnan",Homo sapiens,DH027,IDU,genomic RNA,genotype: intermediate between subtypes 6m and 6n,Orthohepacivirus hominis,,,
KM252792,6xe,1..9401,KM252792,KM252792.1,"Hepatitis C virus isolate km98 polyprotein gene, complete cds.",Orthohepacivirus hominis,Orthohepacivirus hominis Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus.,9397,subtype_files/KM252792.gb,,,taxon:3052230,China,Homo sapiens,km98,,genomic RNA,genotype: 6xe,Orthohepacivirus hominis,,,
KJ567647,6xf,1..9421,KJ567647,KJ567647.1,"Hepatitis C virus isolate 6_VN214, complete genome.",Orthohepacivirus hominis,Orthohepacivirus hominis Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus.,9404,subtype_files/KJ567647.gb,,,taxon:3052230,Viet Nam,Homo sapiens,6_VN214,,genomic RNA,unclassified genotype 6 variant; genotype: 6,Orthohepacivirus hominis,,,
KJ567646,6xf,1..9428,KJ567646,KJ567646.1,"Hepatitis C virus isolate 6_TV469, complete genome.",Orthohepacivirus hominis,Orthohepacivirus hominis Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus.,9413,subtype_files/KJ567646.gb,,,taxon:3052230,Viet Nam,Homo sapiens,6_TV469,,genomic RNA,unclassified genotype 6 variant; genotype: 6,Orthohepacivirus hominis,,,
MH492360,6xg,1..9318,MH492360,MH492360.1,"Orthohepacivirus hominis isolate KS27 polyprotein gene, partial cds.",Orthohepacivirus hominis,Orthohepacivirus hominis Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus.,9305,subtype_files/MH492360.gb,,2014,taxon:3052230,Myanmar,Homo sapiens,KS27,,genomic RNA,subtype: 6xg,Orthohepacivirus hominis,,,
MH492361,6xg,1..9318,MH492361,MH492361.1,"Orthohepacivirus hominis isolate KS81 polyprotein gene, partial cds.",Orthohepacivirus hominis,Orthohepacivirus hominis Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus.,9300,subtype_files/MH492361.gb,,2014,taxon:3052230,Myanmar,Homo sapiens,KS81,,genomic RNA,subtype: 6xg,Orthohepacivirus hominis,,,
MG879000,6xh,1..9057,MG879000,MG879000.1,"Orthohepacivirus hominis isolate 1350-1 polyprotein gene, complete cds.",Orthohepacivirus hominis,Orthohepacivirus hominis Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus.,9031,subtype_files/MG879000.gb,,2014,taxon:3052230,China,Homo sapiens,1350-1,,genomic RNA,,Orthohepacivirus hominis,,,
JX183549,6xi,1..9448,JX183549,JX183549.1,"Hepatitis C virus isolate KM35, complete genome.",Orthohepacivirus hominis,Orthohepacivirus hominis Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus.,9434,subtype_files/JX183549.gb,,,taxon:3052230,"China: Kunming, Yunnan",Homo sapiens,KM35,patient serum,genomic RNA,genotype: 6k-related,Orthohepacivirus hominis,,,
MZ504973,6xi,1..9361,MZ504973,MZ504973.1,"Orthohepacivirus hominis isolate YNKH261 polyprotein gene, complete cds.",Orthohepacivirus hominis,Orthohepacivirus hominis Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus.,9361,subtype_files/MZ504973.gb,,2018,taxon:3052230,China: Yunnan,Homo sapiens,YNKH261,plasma,genomic RNA,subtype: 6xi,Orthohepacivirus hominis,,,
DQ278891,6xj,1..9440,DQ278891,DQ278891.1,"Hepatitis C virus subtype 6k isolate KM45, complete genome.",Hepatitis C virus subtype 6k,Hepatitis C virus subtype 6k Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus; Orthohepacivirus hominis.,9432,subtype_files/DQ278891.gb,,,taxon:356469,China: Kunming,,KM45,serum from a patient with chronic hepatitis,genomic RNA,genotype: 6k,Hepatitis C virus subtype 6k,,,
MZ171127,6xj,1..9393,MZ171127,MZ171127.1,"Orthohepacivirus hominis isolate YNKH298a polyprotein gene, complete cds.",Orthohepacivirus hominis,Orthohepacivirus hominis Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus.,9393,subtype_files/MZ171127.gb,,2018,taxon:3052230,China: Yunnan,Homo sapiens,YNKH298a,plasma,genomic RNA,subtype: 6xj,Orthohepacivirus hominis,,,
EF108306,7a,1..9443,EF108306,EF108306.2,"Hepatitis C virus QC69 subtype 7a, complete genome.",Hepatitis C virus QC69,Hepatitis C virus QC69 Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus; Orthohepacivirus hominis.,9431,subtype_files/EF108306.gb,,,taxon:1544902,Canada,Homo sapiens,QC69,plasma,genomic RNA,emigrant from the Democratic Republic of Congo; subtype: 7a,Hepatitis C virus QC69,,,
KX092342,7b,1..9382,KX092342,KX092342.1,"Orthohepacivirus hominis isolate BAK1 polyprotein gene, partial cds.",Orthohepacivirus hominis,Orthohepacivirus hominis Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus.,9291,subtype_files/KX092342.gb,,Jan-2010,taxon:3052230,France,Homo sapiens,BAK1,,genomic RNA,,Orthohepacivirus hominis,7b,,
MH590698,8a,1..9409,MH590698,MH590698.1,"Orthohepacivirus hominis isolate GT8-1 polyprotein gene, complete cds.",Orthohepacivirus hominis,Orthohepacivirus hominis Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Orthohepacivirus.,9409,subtype_files/MH590698.gb,,14-Mar-2016,taxon:3052230,Canada,Homo sapiens,GT8-1,plasma,genomic RNA,genotype: 8,Orthohepacivirus hominis,,,
